id_aluno,fase,genero,ano_ingresso,inst_ensino,iaa,ieg,ips,ida,atingiu_pv,ipv,ian,ano,ipp,idade,pedra,matematica,portugues,ingles,defasagem,inde,tipo_estudante,tipo_instituicao,nivel_ensino,evadido,piorou_defasagem,nivel_defasagem,permanencia,jornada,jornada_22_23,jornada_23_24,jornada_inde,jornada_inde_22_23,jornada_inde_23_24,jornada_pedra,jornada_pedra_22_23,jornada_pedra_23_24
RA-1022,1,masculino,2023,publico,9.502,9.318181818,6.26,6.5,nao,8.116666667,5.0,2024,7.5,10,ametista,5.5,7.5,7.24,-1.0,7.613169697000002,veterano,escolar,fundamental1,True,False,moderada,1,recuo,,recuo,avanco,,avanco,neutro,,neutro
RA-1023,1,feminino,2023,publico,10.0,10.0,6.27,9.1,nao,9.06,10.0,2023,8.75,0,topazio,8.5,9.7,8.9,0.0,9.1342,ingressante,escolar,fundamental1,False,False,em fase,0,,,neutro,,,avanco,,,neutro
RA-1023,2,feminino,2023,publico,9.502,9.511904762,9.375,9.5,sim,9.563333333,10.0,2024,8.958333333,10,topazio,9.0,10.0,9.1,0.0,9.498580952300001,veterano,escolar,fundamental2,True,False,em fase,1,neutro,,neutro,avanco,,avanco,neutro,,neutro
RA-1024,1,feminino,2023,publico,0.0,10.0,6.27,9.8,nao,8.95,5.0,2023,9.21875,10,ametista,10.0,9.5,10.0,-1.0,7.788875,ingressante,escolar,fundamental1,False,False,moderada,0,,,neutro,,,avanco,,,avanco
RA-1024,1,feminino,2023,publico,8.002,10.0,7.51,10.0,nao,8.783333333,5.0,2024,8.4375,11,topazio,10.0,10.0,10.0,-1.0,8.6516166666,veterano,escolar,fundamental1,True,False,moderada,1,neutro,,neutro,avanco,,avanco,avanco,,avanco
RA-1025,1,masculino,2023,publico,8.5,8.9,7.52,7.5,nao,7.836666667,10.0,2023,7.65625,9,topazio,7.5,7.5,7.959999999999999,0.0,8.215158333,ingressante,escolar,fundamental1,False,True,em fase,0,,,recuo,,,recuo,,,recuo
RA-1025,1,masculino,2023,publico,9.002,7.727272727,7.51,9.0,nao,7.783333333,5.0,2024,8.4375,10,ametista,10.0,8.0,9.76,-1.0,7.897071212,veterano,escolar,fundamental1,True,False,moderada,1,recuo,,recuo,recuo,,recuo,recuo,,recuo
RA-1026,1,feminino,2023,publico,8.5,9.8,7.52,3.2,nao,7.06,2.5,2023,6.40625,0,agata,2.3,4.0,2.3400000000000003,-3.0,6.494825,ingressante,escolar,fundamental1,True,False,severa,0,,,,,,,,,
RA-1027,1,feminino,2023,publico,9.5,9.7,7.52,6.0,nao,8.333333333,5.0,2023,7.5,10,ametista,4.2,7.7,5.54,-1.0,7.748866667,ingressante,escolar,fundamental1,False,False,moderada,0,,,avanco,,,avanco,,,avanco
RA-1027,2,feminino,2023,publico,9.502,10.0,7.51,5.25,nao,8.39,10.0,2024,7.916666667,11,topazio,6.0,4.5,5.0,0.0,8.220866666700001,veterano,escolar,fundamental2,True,False,em fase,1,avanco,,avanco,avanco,,avanco,avanco,,avanco
